id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
187,27,two,insect,1.132637046,10,yes,1,65.72090909,0.57967084,0.042026197,NA,NA,NA,NA,NA,0
188,28,two,insect,0.559981297,5,yes,1,65.6335,0.532271092,0.061851697,NA,NA,NA,NA,NA,0
189,29,two,insect,0.235277756,3,yes,1,67.52318182,0.530420661,0.072540709,NA,NA,NA,NA,NA,0
190,30,two,insect,0.69888776,3,yes,1,68.06,0.574549065,0.040419893,NA,NA,NA,NA,NA,0
191,31,two,insect,1.576945823,3,yes,1,67.54,0.486810552,0.047157615,NA,NA,NA,NA,NA,0
192,32,two,insect,0.367442406,1,yes,1,67.99409091,0.406894397,0.051453347,NA,NA,NA,NA,NA,0
193,33,two,insect,6.032632071,4,yes,1,64.99727273,0.57984173,0.024055888,NA,NA,NA,NA,NA,0
194,34,two,insect,1.710999126,3,yes,1,68.22636364,0.542548322,0.045184816,NA,NA,NA,NA,NA,0
195,35,two,insect,7.061308392,4,yes,1,67.13545455,0.644468632,0.104206066,NA,NA,NA,NA,NA,0
196,36,two,insect,0,0,no,0,66.06181818,0.664211778,0.058848343,NA,NA,NA,NA,NA,0
197,37,two,insect,5.527790468,1,yes,1,63.43954545,0.62831966,0.058469636,NA,NA,NA,NA,NA,0
198,38,two,insect,0.340297539,4,yes,1,62.229,0.582109235,0.035463932,NA,NA,NA,NA,NA,0
199,39,two,insect,1.03054571,2,yes,1,62.133,0.55221976,0.026948698,NA,NA,NA,NA,NA,0
200,40,two,insect,20.58009295,1,yes,1,63.02,0.660496571,0.111679388,NA,NA,NA,NA,NA,0
201,1,two,oak,0,0,no,0,65.065,0.373507275,0,NA,NA,NA,NA,NA,NA
202,2,two,oak,0.980488678,3,yes,1,66.35136364,0.298565401,0.033528528,NA,NA,NA,NA,NA,NA
203,3,two,oak,0.877044412,4,yes,1,66.48409091,0.285285473,0.039723662,NA,NA,NA,NA,NA,NA
204,4,two,oak,0,0,no,0,65.41363636,0.218246509,0.033593612,NA,NA,NA,NA,NA,NA
205,5,two,oak,0.171526249,3,yes,1,64.60136364,0.639165792,0.316175018,NA,NA,NA,NA,NA,NA
206,6,two,oak,0.779328077,7,yes,1,67.03681818,0.302118046,0.042326748,NA,NA,NA,NA,NA,NA
207,7,two,oak,0.039759609,2,yes,1,68.20727273,0.31450654,0.020217763,NA,NA,NA,NA,NA,NA
208,8,two,oak,1.057711831,8,yes,1,67.61227273,0.284643449,0.032357839,NA,NA,NA,NA,NA,NA
209,9,two,oak,0.645138527,3,yes,1,65.1885,0.647004831,0.231543074,NA,NA,NA,NA,NA,NA
210,10,two,oak,0,0,no,0,69.44727273,0.566509271,0.228256917,NA,NA,NA,NA,NA,NA
211,11,two,oak,0,0,no,0,69.59318182,0.363731352,0.02363478,NA,NA,NA,NA,NA,NA
212,12,two,oak,0,0,no,0,68.80863636,0.389287061,0.045110959,NA,NA,NA,NA,NA,NA
213,13,two,oak,0.378264874,2,yes,1,67.59681818,0.503872054,0.053607256,NA,NA,NA,NA,NA,NA
214,14,two,oak,0,0,no,0,68.85863636,0.6064217,0.125089814,NA,NA,NA,NA,NA,NA
215,15,two,oak,0,0,no,0,68.14590909,0.624744739,0.153946293,NA,NA,NA,NA,NA,NA
216,16,two,oak,0.327749554,6,yes,1,66.12136364,0.582108685,0.123490001,NA,NA,NA,NA,NA,NA
217,17,two,oak,2.25307521,4,yes,1,64.36181818,0.528169365,0.09306141,NA,NA,NA,NA,NA,NA
218,18,two,oak,3.583270296,4,yes,1,59.46090909,0.663812761,0.186518527,NA,NA,NA,NA,NA,NA
219,19,two,oak,4.79472801,6,yes,1,66.61954545,0.535794603,0.082274547,NA,NA,NA,NA,NA,NA
220,20,two,oak,2.247093156,4,yes,1,61.34227273,0.468502259,0.032697694,NA,NA,NA,NA,NA,NA
221,21,two,oak,1.190771264,6,yes,1,66.48727273,0.307045098,0.030027187,NA,NA,NA,NA,NA,NA
222,22,two,oak,2.879873388,11,yes,1,68.28136364,0.446256796,0.04112092,NA,NA,NA,NA,NA,NA
223,23,two,oak,7.153976696,9,yes,1,69.37681818,0.31265691,0.023640056,NA,NA,NA,NA,NA,NA
